passage_id,chapter,section,subsection,page,text,heading_path,kind,text_clean,word_count,nn,nn_sim,x,y,cluster,cluster_name,cluster_short,words,phrases
p0342,Part 10: Majors and Courses,Majors (listed in alphabetical order),Behavioral Science with tracks in Psychology and Neuroscience,96,PSYCH 102 Cognitive Psychology 4 PSYCH 103 Developmental Psychology 4 PSYCH 104 Social Psychology 4 Course Cluster II,Part 10: Majors and Courses > Majors (listed in alphabetical order) > Behavioral Science with tracks in Psychology and Neuroscience > Behavioral Science / Psychology > Disciplinary Courses,course_listing,PSYCH 102 Cognitive Psychology 4 PSYCH 103 Developmental Psychology 4 PSYCH 104 Social Psychology 4 Course Cluster II,18,p0341 p0584 p1236 p0343 p0576,0.769 0.731 0.674 0.634 0.607,9.122285,2.0216973,5,Interdisciplinary Seminars & Learning Goals,Seminars,"psych, psychology, developmental, cognitive, ii, social, course, wrong, wuhan, year, years, yeast","psychology psych, writing papers, writing short, writing skills, writing speaking, writing stories, written advanced, written english, written oral, world role, world war, writing argumentation"
p0343,Part 10: Majors and Courses,Majors (listed in alphabetical order),Behavioral Science with tracks in Psychology and Neuroscience,96,NEUROSCI 102 Biological Basis of Behavior 4 PSYCH 105 Abnormal Psychology 4 NEUROSCI 212 Cognitive Neuroscience 4,Part 10: Majors and Courses > Majors (listed in alphabetical order) > Behavioral Science with tracks in Psychology and Neuroscience > Behavioral Science / Psychology > Disciplinary Courses,course_listing,NEUROSCI 102 Biological Basis of Behavior 4 PSYCH 105 Abnormal Psychology 4 NEUROSCI 212 Cognitive Neuroscience 4,17,p0346 p0342 p0578 p1115 p0345,0.773 0.634 0.627 0.564 0.558,9.379641,1.9659008,0,"Biology, Chemistry & Environmental Science",Bio / Chem / Env,"neurosci, neuroscience, cognitive, psych, biological, psychology, behavior, basis, wrong, wuhan, year, years","biological basis, writing papers, writing short, writing skills, writing speaking, writing stories, written advanced, written english, written oral, world role, world war, writing argumentation"
p0344,Part 10: Majors and Courses,Majors (listed in alphabetical order),Behavioral Science with tracks in Psychology and Neuroscience,96,Students can choose the recommended electives in their tracks or select other courses in different disciplines or divisions as electives. The course list will be updated periodically.,Part 10: Majors and Courses > Majors (listed in alphabetical order) > Behavioral Science with tracks in Psychology and Neuroscience > Behavioral Science / Psychology > Electives,prose,Students can choose the recommended electives in their tracks or select other courses in different disciplines or divisions as electives. The course list will be updated periodically.,27,p0432 p0324 p0487 p0425 p0315,0.934 0.874 0.847 0.829 0.665,5.1903543,3.9504085,1,"Advanced Placement, Credit & Electives",AP & Electives,"electives, select, updated, divisions, periodically, recommended, tracks, list, choose, disciplines, different, courses","select courses, divisions electives, disciplines divisions, recommended electives, list updated, courses different, updated periodically, course list, students choose, different disciplines, writing papers, writing short"
p0345,Part 10: Majors and Courses,Majors (listed in alphabetical order),Behavioral Science with tracks in Psychology and Neuroscience,96,"PSYCH 110 Mindfulness, Stress, and Health: Eastern and Western 4 Perspectives NEUROSCI 202 Medical Neuroscience 4 BEHAVSCI 203 Comparative Analysis of Behavior 2 BEHAVSCI 204 Experimental Philosophy 4 GLHLTH 301 Global Health Research Methods 4 PUBPOL 303 Policy Choice as Value Conflict 4 ECON 309 Behavioral Finance 4 POLSCI 313 Political Psychology 4 /PSYCH 313 ECON 333/ Social and Economic Networks 4 SOSC 333",Part 10: Majors and Courses > Majors (listed in alphabetical order) > Behavioral Science with tracks in Psychology and Neuroscience > Behavioral Science / Psychology > Electives,course_listing,"PSYCH 110 Mindfulness, Stress, and Health: Eastern and Western 4 Perspectives NEUROSCI 202 Medical Neuroscience 4 BEHAVSCI 203 Comparative Analysis of Behavior 2 BEHAVSCI 204 Experimental Philosophy 4 GLHLTH 301 Global Health Research Methods 4 PUBPOL 303 Policy Choice as Value Conflict 4 ECON 309 Behavioral Finance 4 POLSCI 313 Political Psychology 4 /PSYCH 313 ECON 333/ Social and Economic Networks 4 SOSC 333",64,p0347 p0476 p1240 p0438 p0343,0.997 0.568 0.565 0.559 0.558,9.698573,1.0190102,8,Public Policy & Economics,Policy & Economics,"behavsci, psych, econ, health, neurosci, stress, neuroscience, eastern, glhlth, finance, value, conflict","methods pubpol, neuroscience behavsci, comparative analysis, behavior behavsci, econ behavioral, pubpol policy, health research, value conflict, choice value, behavioral finance, eastern western, policy choice"
p0346,Part 10: Majors and Courses,Majors (listed in alphabetical order),Behavioral Science with tracks in Psychology and Neuroscience,99,NEUROSCI 102 Biological Basis of Behavior 4 BEHAVSCI 205 Systems and Circuits 4 NEUROSCI 212 Cognitive Neuroscience 4 NEUROSCI 301 Research Methods in Neuroscience 4 BEHAVSCI 301 Computational Neuroscience 4,Part 10: Majors and Courses > Majors (listed in alphabetical order) > Behavioral Science with tracks in Psychology and Neuroscience > Behavioral Science / Neuroscience > Disciplinary Courses,course_listing,NEUROSCI 102 Biological Basis of Behavior 4 BEHAVSCI 205 Systems and Circuits 4 NEUROSCI 212 Cognitive Neuroscience 4 NEUROSCI 301 Research Methods in Neuroscience 4 BEHAVSCI 301 Computational Neuroscience 4,30,p0343 p0340 p0578 p1115 p0580,0.773 0.588 0.584 0.550 0.535,9.431346,2.1959155,0,"Biology, Chemistry & Environmental Science",Bio / Chem / Env,"neurosci, neuroscience, behavsci, circuits, cognitive, biological, behavior, computational, systems, basis, research, methods","neuroscience behavsci, biological basis, behavior behavsci, research methods, writing papers, writing short, writing skills, writing speaking, writing stories, written advanced, written english, written oral"
p0347,Part 10: Majors and Courses,Majors (listed in alphabetical order),Behavioral Science with tracks in Psychology and Neuroscience,99,"PSYCH 110 Mindfulness, Stress, and Health: Eastern and Western 4 Perspectives NEUROSCI 202 Medical Neuroscience 4 BEHAVSCI 203 Comparative Analysis of Behavior 2 BEHAVSCI 204 Experimental Philosophy 4 GLHLTH 301 Global Health Research Methods 4 PUBPOL 303 Policy Choice as Value Conflict 4 ECON 309 Behavioral Finance 4 POLSCI 313 Political Psychology 4 /PSYCH 313",Part 10: Majors and Courses > Majors (listed in alphabetical order) > Behavioral Science with tracks in Psychology and Neuroscience > Behavioral Science / Neuroscience > Electives,course_listing,"PSYCH 110 Mindfulness, Stress, and Health: Eastern and Western 4 Perspectives NEUROSCI 202 Medical Neuroscience 4 BEHAVSCI 203 Comparative Analysis of Behavior 2 BEHAVSCI 204 Experimental Philosophy 4 GLHLTH 301 Global Health Research Methods 4 PUBPOL 303 Policy Choice as Value Conflict 4 ECON 309 Behavioral Finance 4 POLSCI 313 Political Psychology 4 /PSYCH 313",55,p0345 p1240 p0343 p0476 p0438,0.997 0.562 0.558 0.558 0.555,9.646053,1.0290997,8,Public Policy & Economics,Policy & Economics,"behavsci, psych, health, stress, neurosci, eastern, neuroscience, glhlth, finance, value, conflict, western","neuroscience behavsci, methods pubpol, comparative analysis, behavior behavsci, econ behavioral, health research, pubpol policy, value conflict, choice value, eastern western, behavioral finance, policy choice"
p0348,Part 10: Majors and Courses,Majors (listed in alphabetical order),"Computation and Design with tracks in Computer Science, Digital Media, and Social Policy",100,This major is only available to the Class of 2025 and beyond.,"Part 10: Majors and Courses > Majors (listed in alphabetical order) > Computation and Design with tracks in Computer Science, Digital Media, and Social Policy",prose,This major is only available to the Class of 2025 and beyond.,12,p0336 p0310 p0154 p0065 p0300,0.798 0.713 0.472 0.447 0.434,5.0147133,3.7248528,1,"Advanced Placement, Credit & Electives",AP & Electives,"available, class, major, wrong, wuhan, year, years, yeast, yielded, yoga, york, world","available class, writing papers, writing short, writing skills, writing speaking, writing stories, written advanced, written english, written oral, world role, world war, writing argumentation"
p0349,Part 10: Majors and Courses,Majors (listed in alphabetical order),"Computation and Design with tracks in Computer Science, Digital Media, and Social Policy",100,"Computer science is an intellectually rich and rapidly growing field that has had a profound effect on our society and everyday lives. Today, this field continues to expand in scope and depth and will remain an exciting place to work and learn in coming years. Computer Science majors are in high demand for well- paying jobs in technology, science, business, healthcare, and other sectors. At the same time, the wide- ranging impact of computer science tools and methods demands careful design of the algorithms and systems by which we deploy them, as well as an ability to critique their assumptions and effects in terms of social policy, media and communications, and the arts.","Part 10: Majors and Courses > Majors (listed in alphabetical order) > Computation and Design with tracks in Computer Science, Digital Media, and Social Policy",prose,"Computer science is an intellectually rich and rapidly growing field that has had a profound effect on our society and everyday lives. Today, this field continues to expand in scope and depth and will remain an exciting place to work and learn in coming years. Computer Science majors are in high demand for well- paying jobs in technology, science, business, healthcare, and other sectors. At the same time, the wide- ranging impact of computer science tools and methods demands careful design of the algorithms and systems by which we deploy them, as well as an ability to critique their assumptions and effects in terms of social policy, media and communications, and the arts.",113,p0351 p0963 p0350 p0714 p0400,0.673 0.645 0.628 0.626 0.562,7.2073474,2.248342,10,"Computer Science, Math & Data Science",CS / Math / Data,"computer, science, field, jobs, exciting, intellectually, coming, paying, growing, rapidly, assumptions, continues","computer science, science tools, media communications, everyday lives, writing papers, writing short, writing skills, writing speaking, writing stories, written advanced, written english, written oral"
p0350,Part 10: Majors and Courses,Majors (listed in alphabetical order),"Computation and Design with tracks in Computer Science, Digital Media, and Social Policy",100,"The structure of the Computation and Design major combines foundational computer science knowledge with a diverse range of potential applications, which are presented within a wider context of scientific, social, and cultural challenges. Students in this major take five courses in common: Computation, Society and Culture; Computation and Problem Solving, Programming and Data Structures, Modeling and Predicting, and Digital Design.","Part 10: Majors and Courses > Majors (listed in alphabetical order) > Computation and Design with tracks in Computer Science, Digital Media, and Social Policy",prose,"The structure of the Computation and Design major combines foundational computer science knowledge with a diverse range of potential applications, which are presented within a wider context of scientific, social, and cultural challenges. Students in this major take five courses in common: Computation, Society and Culture; Computation and Problem Solving, Programming and Data Structures, Modeling and Predicting, and Digital Design.",60,p0355 p0351 p0721 p0714 p0314,0.699 0.693 0.675 0.663 0.658,7.10617,2.2826092,10,"Computer Science, Math & Data Science",CS / Math / Data,"computation, design, predicting, combines, presented, major, solving, modeling, potential, wider, problem, scientific","major courses, potential applications, computation problem, computation design, challenges students, programming data, data structures, problem solving, society culture, social cultural, computer science, students major"
p0351,Part 10: Majors and Courses,Majors (listed in alphabetical order),"Computation and Design with tracks in Computer Science, Digital Media, and Social Policy",100,"The major offers three distinct disciplinary tracks: • The Computer Science track focuses on the fundamentals of program design, software development, computer organization, systems and networks, theories of computation, principles of languages, and advanced algorithms and data.","Part 10: Majors and Courses > Majors (listed in alphabetical order) > Computation and Design with tracks in Computer Science, Digital Media, and Social Policy",prose,"The major offers three distinct disciplinary tracks: • The Computer Science track focuses on the fundamentals of program design, software development, computer organization, systems and networks, theories of computation, principles of languages, and advanced algorithms and data.",37,p0350 p0349 p0314 p0714 p0721,0.693 0.673 0.660 0.645 0.620,7.154888,2.3551035,10,"Computer Science, Math & Data Science",CS / Math / Data,"computer, distinct, computation, algorithms, tracks, software, languages, organization, fundamentals, offers, networks, track","track focuses, science track, computer organization, disciplinary tracks, computer science, writing papers, writing short, writing skills, writing speaking, writing stories, written advanced, written english"
p0352,Part 10: Majors and Courses,Majors (listed in alphabetical order),"Computation and Design with tracks in Computer Science, Digital Media, and Social Policy",100,"• The Social Policy track focuses on database systems, semantic knowledge production, and structured data to inform policy and shape reflective analysis. The track allows students to pursue three domain concentrations: urban design, environmental sustainability, and global networks.","Part 10: Majors and Courses > Majors (listed in alphabetical order) > Computation and Design with tracks in Computer Science, Digital Media, and Social Policy",prose,"• The Social Policy track focuses on database systems, semantic knowledge production, and structured data to inform policy and shape reflective analysis. The track allows students to pursue three domain concentrations: urban design, environmental sustainability, and global networks.",38,p0409 p1241 p1221 p1300 p0371,0.689 0.560 0.552 0.503 0.500,10.027128,0.87273175,8,Public Policy & Economics,Policy & Economics,"track, domain, database, inform, sustainability, structured, policy, allows, pursue, shape, networks, urban","track focuses, policy track, knowledge production, global networks, environmental sustainability, urban design, allows students, writing papers, writing short, writing skills, writing speaking, writing stories"
p0353,Part 10: Majors and Courses,Majors (listed in alphabetical order),"Computation and Design with tracks in Computer Science, Digital Media, and Social Policy",100,"• The Digital Media track focuses on the application of computational media methods to cultural production at the intersection of design, technology, and society. It combines core courses on web design and data visualization with a selection of advanced courses such as 3D programming, human-computer interaction, interaction and physical computing, geographic information systems, and speculative and critical design.","Part 10: Majors and Courses > Majors (listed in alphabetical order) > Computation and Design with tracks in Computer Science, Digital Media, and Social Policy",prose,"• The Digital Media track focuses on the application of computational media methods to cultural production at the intersection of design, technology, and society. It combines core courses on web design and data visualization with a selection of advanced courses such as 3D programming, human-computer interaction, interaction and physical computing, geographic information systems, and speculative and critical design.",58,p0963 p0363 p1011 p1089 p0937,0.683 0.594 0.586 0.572 0.562,6.621514,0.98126423,4,"Media, Film & Visual Arts",Media & Film,"design, interaction, media, speculative, geographic, combines, visualization, web, intersection, selection, computing, courses","track focuses, cultural production, computational media, physical computing, interaction physical, advanced courses, core courses, data visualization, digital media, writing papers, writing short, writing skills"
p0354,Part 10: Majors and Courses,Majors (listed in alphabetical order),"Computation and Design with tracks in Computer Science, Digital Media, and Social Policy",100,"A focus on design thinking unites these tracks at the outset, and later in the senior seminar course, where students recombine into project groups to pursue collaborative projects.","Part 10: Majors and Courses > Majors (listed in alphabetical order) > Computation and Design with tracks in Computer Science, Digital Media, and Social Policy",prose,"A focus on design thinking unites these tracks at the outset, and later in the senior seminar course, where students recombine into project groups to pursue collaborative projects.",28,p1295 p0964 p0355 p0051 p1349,0.715 0.667 0.562 0.518 0.495,6.233629,1.4015651,5,Interdisciplinary Seminars & Learning Goals,Seminars,"collaborative, pursue, later, tracks, groups, project, projects, senior, thinking, seminar, design, focus","seminar course, senior seminar, course students, writing papers, writing short, writing skills, writing speaking, writing stories, written advanced, written english, written oral, world role"
p0355,Part 10: Majors and Courses,Majors (listed in alphabetical order),"Computation and Design with tracks in Computer Science, Digital Media, and Social Policy",100,"The deeply interdisciplinary focus of the curriculum allows students from a wide range of backgrounds and interests the opportunity to develop sufficient depth in computational methods to engage in informed realization of their potential. The tripartite structure of the major allows students to specialize within the context of Computation and Design while providing opportunities to come together in creative, problem- based teams. We anticipate that this sustained engagement with computation and design as the over-arching framework for their study will help to ensure that the students acquire breadth, depth, and an ability to collaborate in cross-functional teams.","Part 10: Majors and Courses > Majors (listed in alphabetical order) > Computation and Design with tracks in Computer Science, Digital Media, and Social Policy",prose,"The deeply interdisciplinary focus of the curriculum allows students from a wide range of backgrounds and interests the opportunity to develop sufficient depth in computational methods to engage in informed realization of their potential. The tripartite structure of the major allows students to specialize within the context of Computation and Design while providing opportunities to come together in creative, problem- based teams. We anticipate that this sustained engagement with computation and design as the over-arching framework for their study will help to ensure that the students acquire breadth, depth, and an ability to collaborate in cross-functional teams.",97,p0350 p0964 p0311 p0712 p0961,0.699 0.679 0.674 0.651 0.593,6.8892183,1.8108362,10,"Computer Science, Math & Data Science",CS / Math / Data,"teams, computation, depth, allows, design, realization, anticipate, deeply, breadth, backgrounds, sufficient, ensure","computation design, allows students, computational methods, students acquire, wide range, writing papers, writing short, writing skills, writing speaking, writing stories, written advanced, written english"
p0356,Part 10: Majors and Courses,Majors (listed in alphabetical order),"Computation and Design with tracks in Computer Science, Digital Media, and Social Policy",101,MATH 205 Probability and Statistics 4 And choose one of the following two courses And choose one of the following three courses,"Part 10: Majors and Courses > Majors (listed in alphabetical order) > Computation and Design with tracks in Computer Science, Digital Media, and Social Policy > Computation and Design / Computer Science > Divisional Foundation Courses",course_listing,MATH 205 Probability and Statistics 4 And choose one of the following two courses And choose one of the following three courses,22,p0319 p0414 p0401 p0316 p0321,0.646 0.638 0.630 0.624 0.623,5.7662177,4.139392,1,"Advanced Placement, Credit & Electives",AP & Electives,"choose, following, probability, courses, statistics, math, wrong, wuhan, year, years, yeast, yielded","choose following, following courses, math probability, probability statistics, writing papers, writing short, writing skills, writing speaking, writing stories, written advanced, written english, written oral"
p0357,Part 10: Majors and Courses,Majors (listed in alphabetical order),"Computation and Design with tracks in Computer Science, Digital Media, and Social Policy",101,Choose one of the following two courses,"Part 10: Majors and Courses > Majors (listed in alphabetical order) > Computation and Design with tracks in Computer Science, Digital Media, and Social Policy > Computation and Design / Computer Science > Interdisciplinary Courses",prose,Choose one of the following two courses,7,p0319 p0362 p0316 p0401 p0329,0.945 0.924 0.862 0.853 0.833,5.6140704,4.175935,1,"Advanced Placement, Credit & Electives",AP & Electives,"choose, following, courses, wrong, wuhan, year, years, yeast, yielded, yoga, york, world","choose following, following courses, writing papers, writing short, writing skills, writing speaking, writing stories, written advanced, written english, written oral, world role, world war"
p0358,Part 10: Majors and Courses,Majors (listed in alphabetical order),"Computation and Design with tracks in Computer Science, Digital Media, and Social Policy",101,"INFOSCI 102 Computation and Problem Solving 4 INFOSCI 103 Computation, Society & Culture 4 INFOSCI 104 Design Perspectives 4 STATS 202 Modeling and Predicting 4 COMPDSGN Senior Seminar 4 490","Part 10: Majors and Courses > Majors (listed in alphabetical order) > Computation and Design with tracks in Computer Science, Digital Media, and Social Policy > Computation and Design / Computer Science > Interdisciplinary Courses",course_listing,"INFOSCI 102 Computation and Problem Solving 4 INFOSCI 103 Computation, Society & Culture 4 INFOSCI 104 Design Perspectives 4 STATS 202 Modeling and Predicting 4 COMPDSGN Senior Seminar 4 490",30,p0350 p0365 p0322 p0320 p0330,0.622 0.609 0.607 0.602 0.589,7.194037,2.6190362,10,"Computer Science, Math & Data Science",CS / Math / Data,"infosci, computation, predicting, solving, modeling, problem, senior, seminar, perspectives, stats, design, society","computation problem, problem solving, society culture, senior seminar, writing papers, writing short, writing skills, writing speaking, writing stories, written advanced, written english, written oral"
p0359,Part 10: Majors and Courses,Majors (listed in alphabetical order),"Computation and Design with tracks in Computer Science, Digital Media, and Social Policy",102,COMPSCI 204 Introduction to Artificial Intelligence 4 COMPSCI 210 Everything Data 4 ECON 211 Intelligent Economics: An Explainable AI approach 2 COMPSCI 302 Computer Vision 4 STATS 302 Principles of Machine Learning 4 COMPSCI 303 Search Engines 4 COMPSCI 304 Speech Recognition 4 COMPSCI 307 Software Design and Implementation 4 COMPSCI 309 Elements of Machine Learning 4 COMPSCI 320 Software Reliability 4 COMPSCI 401 Cloud Computing 4 STATS 401 Data Acquisition and Visualization 4 COMPSCI 402 Artificial Intelligence 4 STATS 402 Interdisciplinary Data Analysis 4 STATS 403 Deep Learning 4,"Part 10: Majors and Courses > Majors (listed in alphabetical order) > Computation and Design with tracks in Computer Science, Digital Media, and Social Policy > Computation and Design / Computer Science > Electives",course_listing,COMPSCI 204 Introduction to Artificial Intelligence 4 COMPSCI 210 Everything Data 4 ECON 211 Intelligent Economics: An Explainable AI approach 2 COMPSCI 302 Computer Vision 4 STATS 302 Principles of Machine Learning 4 COMPSCI 303 Search Engines 4 COMPSCI 304 Speech Recognition 4 COMPSCI 307 Software Design and Implementation 4 COMPSCI 309 Elements of Machine Learning 4 COMPSCI 320 Software Reliability 4 COMPSCI 401 Cloud Computing 4 STATS 401 Data Acquisition and Visualization 4 COMPSCI 402 Artificial Intelligence 4 STATS 402 Interdisciplinary Data Analysis 4 STATS 403 Deep Learning 4,90,p0404 p0327 p0328 p0402 p0785,0.890 0.728 0.727 0.669 0.589,7.7527466,2.644141,10,"Computer Science, Math & Data Science",CS / Math / Data,"compsci, stats, intelligence, artificial, machine, software, data, learning, reliability, engines, cloud, explainable","machine learning, artificial intelligence, software reliability, acquisition visualization, data acquisition, design implementation, interdisciplinary data, compsci cloud, engines compsci, cloud computing, compsci computer, search engines"
p0360,Part 10: Majors and Courses,Majors (listed in alphabetical order),"Computation and Design with tracks in Computer Science, Digital Media, and Social Policy",104,ARHU101 The Art of Interpretation: Written Texts 4 ARHU102 The Art of Interpretation: Image and Sound 4 And complete the following course,"Part 10: Majors and Courses > Majors (listed in alphabetical order) > Computation and Design with tracks in Computer Science, Digital Media, and Social Policy > Computation and Design / Digital Media > Divisional Foundation Courses",course_listing,ARHU101 The Art of Interpretation: Written Texts 4 ARHU102 The Art of Interpretation: Image and Sound 4 And complete the following course,22,p0508 p0465 p0441 p0392 p0940,0.943 0.940 0.649 0.604 0.554,7.239614,-0.11105696,4,"Media, Film & Visual Arts",Media & Film,"interpretation, art, image, sound, complete, written, texts, following, course, wrong, wuhan, year","art interpretation, interpretation written, written texts, writing papers, writing short, writing skills, writing speaking, writing stories, written advanced, written english, written oral, world role"
p0361,Part 10: Majors and Courses,Majors (listed in alphabetical order),"Computation and Design with tracks in Computer Science, Digital Media, and Social Policy",104,STATS 101 Introduction to Applied Statistical Methods 4,"Part 10: Majors and Courses > Majors (listed in alphabetical order) > Computation and Design with tracks in Computer Science, Digital Media, and Social Policy > Computation and Design / Digital Media > Divisional Foundation Courses",course_listing,STATS 101 Introduction to Applied Statistical Methods 4,8,p0414 p0368 p0455 p0339 p0459,0.906 0.807 0.725 0.632 0.571,8.371864,2.4862638,10,"Computer Science, Math & Data Science",CS / Math / Data,"statistical, stats, applied, methods, introduction, wrong, wuhan, year, years, yeast, yielded, yoga","applied statistical, introduction applied, statistical methods, stats introduction, writing papers, writing short, writing skills, writing speaking, writing stories, written advanced, written english, written oral"
p0362,Part 10: Majors and Courses,Majors (listed in alphabetical order),"Computation and Design with tracks in Computer Science, Digital Media, and Social Policy",105,Take the following two courses,"Part 10: Majors and Courses > Majors (listed in alphabetical order) > Computation and Design with tracks in Computer Science, Digital Media, and Social Policy > Computation and Design / Digital Media > Disciplinary Courses",prose,Take the following two courses,5,p0357 p0329 p0319 p0316 p0401,0.924 0.892 0.889 0.788 0.786,5.584612,4.159788,1,"Advanced Placement, Credit & Electives",AP & Electives,"following, courses, wrong, wuhan, year, years, yeast, yielded, yoga, york, world, world-class","following courses, writing papers, writing short, writing skills, writing speaking, writing stories, written advanced, written english, written oral, world role, world war, writing argumentation"
p0363,Part 10: Majors and Courses,Majors (listed in alphabetical order),"Computation and Design with tracks in Computer Science, Digital Media, and Social Policy",105,MEDIART 213 Foundations of Web-Based Multimedia Communications 4 INFOSCI 301 Data Visualization and Information Aesthetics 4 And choose three of the following six domain courses,"Part 10: Majors and Courses > Majors (listed in alphabetical order) > Computation and Design with tracks in Computer Science, Digital Media, and Social Policy > Computation and Design / Digital Media > Disciplinary Courses",course_listing,MEDIART 213 Foundations of Web-Based Multimedia Communications 4 INFOSCI 301 Data Visualization and Information Aesthetics 4 And choose three of the following six domain courses,25,p0353 p0515 p0511 p0514 p0509,0.594 0.566 0.560 0.556 0.545,6.5232635,0.645583,4,"Media, Film & Visual Arts",Media & Film,"domain, aesthetics, communications, visualization, infosci, mediart, foundations, choose, following, data, information, courses","data visualization, choose following, writing papers, writing short, writing skills, writing speaking, writing stories, written advanced, written english, written oral, world role, world war"
p0364,Part 10: Majors and Courses,Majors (listed in alphabetical order),"Computation and Design with tracks in Computer Science, Digital Media, and Social Policy",105,INFOSCI 201 Interaction & Physical Computing 4 INFOSCI 202 3D Modeling and Animation 4 INFOSCI 303 Historical Geographical Information Systems 4 INFOSCI 304 Unity 3D Programming and Interaction Design 4 Machine Reading: APIs for Text and Image Analysis for the INFOSCI 306 Arts and Humanities,"Part 10: Majors and Courses > Majors (listed in alphabetical order) > Computation and Design with tracks in Computer Science, Digital Media, and Social Policy > Computation and Design / Digital Media > Disciplinary Courses",course_listing,INFOSCI 201 Interaction & Physical Computing 4 INFOSCI 202 3D Modeling and Animation 4 INFOSCI 303 Historical Geographical Information Systems 4 INFOSCI 304 Unity 3D Programming and Interaction Design 4 Machine Reading: APIs for Text and Image Analysis for the INFOSCI 306 Arts and Humanities,45,p0358 p0365 p0366 p0725 p0728,0.559 0.554 0.532 0.532 0.532,7.086165,2.450782,10,"Computer Science, Math & Data Science",CS / Math / Data,"infosci, interaction, unity, animation, text, image, machine, geographical, computing, modeling, humanities, programming","physical computing, interaction physical, arts humanities, geographical information, writing papers, writing short, writing skills, writing speaking, writing stories, written advanced, written english, written oral"
p0365,Part 10: Majors and Courses,Majors (listed in alphabetical order),"Computation and Design with tracks in Computer Science, Digital Media, and Social Policy",105,INFOSCI 309 Speculative and Critical Design 4,"Part 10: Majors and Courses > Majors (listed in alphabetical order) > Computation and Design with tracks in Computer Science, Digital Media, and Social Policy > Computation and Design / Digital Media > Disciplinary Courses",course_listing,INFOSCI 309 Speculative and Critical Design 4,7,p0358 p0364 p0320 p0323 p0371,0.609 0.554 0.374 0.373 0.362,7.2251396,2.614226,10,"Computer Science, Math & Data Science",CS / Math / Data,"speculative, infosci, critical, design, wrong, wuhan, year, years, yeast, yielded, yoga, york","ability communicate, ability disciplinary, ability read, ability write, able speak, abroad program, absence personal, absence university, abstract algebra, abstract concepts, academic advising, academic advisor"
p0366,Part 10: Majors and Courses,Majors (listed in alphabetical order),"Computation and Design with tracks in Computer Science, Digital Media, and Social Policy",105,"INFOSCI 105 Experimental Interface Design 4 MEDIART 106 The Visual Culture of News, Past and Present 4 COMPSCI 201 Introduction to Programming and Data Structures 4 STATS 201 Introduction to Machine Learning for Social Science 4 GCULS 201 Culture and Industry 4 INFOSCI 206 Urban Data Visualization and Communication Methods 2 MEDIART 208 Comparative Media Systems and Chinese Mass Media 4 COMPSCI 210 Everything Data 4 HIST 211 Media History: Old and New 4 MEDIART 211 Media, Arts, and Critical Theory 4 MEDIART 214 Media Theory 4 HIST 220 Global Media History 4 POLSCI 302 Public Opinion 4 INFOSCI 302 Introduction to Geographical Information Science 4 INFOSCI 305 Virtual Museums and Digital Culture Heritage 4 LIT 307 Digital Storytelling 4 INFOSCI 307 Archives Alive 4 MEDIART 307 International Communication 4 INFOSCI 308 Data and Visualization 4 INFOSCI 311 Digital Cities: Representing the Past and Building the Future 4 Computational Social Science: Tools to Collect & Analyze SOSC 314 Human Behavior Using Data from the Internet","Part 10: Majors and Courses > Majors (listed in alphabetical order) > Computation and Design with tracks in Computer Science, Digital Media, and Social Policy > Computation and Design / Digital Media > Electives",course_listing,"INFOSCI 105 Experimental Interface Design 4 MEDIART 106 The Visual Culture of News, Past and Present 4 COMPSCI 201 Introduction to Programming and Data Structures 4 STATS 201 Introduction to Machine Learning for Social Science 4 GCULS 201 Culture and Industry 4 INFOSCI 206 Urban Data Visualization and Communication Methods 2 MEDIART 208 Comparative Media Systems and Chinese Mass Media 4 COMPSCI 210 Everything Data 4 HIST 211 Media History: Old and New 4 MEDIART 211 Media, Arts, and Critical Theory 4 MEDIART 214 Media Theory 4 HIST 220 Global Media History 4 POLSCI 302 Public Opinion 4 INFOSCI 302 Introduction to Geographical Information Science 4 INFOSCI 305 Virtual Museums and Digital Culture Heritage 4 LIT 307 Digital Storytelling 4 INFOSCI 307 Archives Alive 4 MEDIART 307 International Communication 4 INFOSCI 308 Data and Visualization 4 INFOSCI 311 Digital Cities: Representing the Past and Building the Future 4 Computational Social Science: Tools to Collect & Analyze SOSC 314 Human Behavior Using Data from the Internet",165,p0371 p0376 p0367 p0963 p0513,0.648 0.610 0.607 0.573 0.559,7.49326,1.503485,4,"Media, Film & Visual Arts",Media & Film,"infosci, mediart, media, data, visualization, digital, past, hist, compsci, communication, culture, introduction","media history, data visualization, social science, mediart international, mass media, introduction machine, digital storytelling, science tools, culture news, computational social, culture industry, global media"
